----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Material          |Material Description                    |ValA|BUn|From Date |To Date   |Opening Stock|Total Receipt Qties|Total Issue Quantities|Closing Stock|S|          Opening Value|   Total Receipt Values|     Total Issue Values|          Closing Value|Crcy |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 30015046-00010E010|MP(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |31.12.2025|31.12.2025|         218 |                 0 |                    0 |         218 | |            10,699,876 |             1,305,037 |                     0 |            12,004,913 |VND  |
| 30015046-00020E010|CL(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |31.12.2025|31.12.2025|         296 |                 0 |                    0 |         296 | |             9,518,768 |                     0 |               492,863-|             9,025,905 |VND  |
| 30015046-00030E010|LF(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |31.12.2025|31.12.2025|         352 |                 0 |                    0 |         352 | |            17,276,864 |               537,369 |                     0 |            17,814,233 |VND  |
| 30015078-00000E010|ID. 4T SL/MA 10W-40 S-S BULK            |380P|KG |31.12.2025|31.12.2025|     385.100 |                 0 |                  261-|     124.100 | |            13,467,717 |                13,996 |             9,127,692-|             4,354,021 |VND  |
| 30015078-00020E010|CL(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |31.12.2025|31.12.2025|           0 |               301 |                    0 |         301 | |                     0 |             6,909,455 |               353,526-|             6,555,929 |VND  |
| 30015078-00030E010|LF(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |31.12.2025|31.12.2025|           0 |               261 |                    0 |         261 | |                     0 |             9,429,868 |                     0 |             9,429,868 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380A|ST |31.12.2025|31.12.2025|          28 |                 0 |                    0 |          28 | |            38,654,644 |             7,852,531 |                     0 |            46,507,175 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380B|ST |31.12.2025|31.12.2025|          55 |                 0 |                    0 |          55 | |            75,928,765 |            13,527,405 |                     0 |            89,456,170 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380C|ST |31.12.2025|31.12.2025|          10 |                 0 |                    0 |          10 | |            13,805,230 |             2,742,010 |                     0 |            16,547,240 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380F|ST |31.12.2025|31.12.2025|           3 |                 0 |                    0 |           3 | |             4,141,569 |               683,679 |                     0 |             4,825,248 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380P|ST |31.12.2025|31.12.2025|          50 |                 0 |                    0 |          50 | |            69,026,150 |            14,244,228 |                     0 |            83,270,378 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380A|ST |31.12.2025|31.12.2025|          99 |                 0 |                    0 |          99 | |           117,841,284 |            10,354,456 |                     0 |           128,195,740 |VND  |
