----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Material          |Material Description                    |ValA|BUn|From Date |To Date   |Opening Stock|Total Receipt Qties|Total Issue Quantities|Closing Stock|S|          Opening Value|   Total Receipt Values|     Total Issue Values|          Closing Value|Crcy |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 30015046-00010E010|MP(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |28.02.2026|28.02.2026|         218 |                 0 |                    0 |         218 | |            10,305,950 |             1,698,963 |                     0 |            12,004,913 |VND  |
| 30015046-00020E010|CL(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |28.02.2026|28.02.2026|         296 |                 0 |                    0 |         296 | |             9,506,336 |                     0 |               480,431-|             9,025,905 |VND  |
| 30015046-00030E010|LF(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |28.02.2026|28.02.2026|         352 |                 0 |                    0 |         352 | |            16,640,800 |             1,173,433 |                     0 |            17,814,233 |VND  |
| 30015078-00010E010|MP(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |28.02.2026|28.02.2026|          17 |                 0 |                    0 |          17 | |               557,719 |               350,742 |                     0 |               908,461 |VND  |
| 30015078-00020E010|CL(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |28.02.2026|28.02.2026|         337 |                 0 |                    0 |         337 | |             7,818,737 |                     0 |               466,405-|             7,352,332 |VND  |
| 30015078-00030E010|LF(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |28.02.2026|28.02.2026|         286 |                 0 |                    0 |         286 | |             9,382,802 |             1,895,261 |                     0 |            11,278,063 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380A|ST |28.02.2026|28.02.2026|           4 |                 0 |                    0 |           4 | |             5,316,540 |             1,335,888 |                     0 |             6,652,428 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380B|ST |28.02.2026|28.02.2026|          44 |                 0 |                    0 |          44 | |            58,481,940 |            13,082,996 |                     0 |            71,564,936 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380C|ST |28.02.2026|28.02.2026|           5 |                 0 |                    0 |           5 | |             6,645,675 |             1,643,663 |                     0 |             8,289,338 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380F|ST |28.02.2026|28.02.2026|           2 |                 0 |                    0 |           2 | |             2,658,270 |               558,562 |                     0 |             3,216,832 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380P|ST |28.02.2026|28.02.2026|           2 |                 0 |                    0 |           2 | |             2,658,270 |               672,545 |                     0 |             3,330,815 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380A|ST |28.02.2026|28.02.2026|          31 |                 0 |                    0 |          31 | |            35,236,615 |             4,435,298 |                     0 |            39,671,913 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380B|ST |28.02.2026|28.02.2026|          62 |                 0 |                    0 |          62 | |            70,473,230 |             8,763,125 |                     0 |            79,236,355 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380C|ST |28.02.2026|28.02.2026|          58 |                 0 |                    0 |          58 | |            65,926,570 |             8,233,077 |                     0 |            74,159,647 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380E|ST |28.02.2026|28.02.2026|           9 |                 0 |                    0 |           9 | |            10,229,985 |             1,276,455 |                     0 |            11,506,440 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380F|ST |28.02.2026|28.02.2026|          11 |                 0 |                    0 |          11 | |            12,503,315 |             1,610,586 |                     0 |            14,113,901 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380P|ST |28.02.2026|28.02.2026|         519 |                 0 |                    0 |         519 | |           589,929,135 |            72,943,517 |                     0 |           662,872,652 |VND  |
| 30015226-00020E010|CL(IFG3 15W-40 SP) BULK                 |380P|KG |28.02.2026|28.02.2026|         304 |                 0 |                    0 |         304 | |             7,053,104 |                     0 |               436,735-|             6,616,369 |VND  |
| 30015226-00030E010|LF(IFG3 15W-40 SP) BULK                 |380P|KG |28.02.2026|28.02.2026|         370 |                 0 |                    0 |         370 | |            12,609,600 |             1,016,332 |                     0 |            13,625,932 |VND  |
