----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Material          |Material Description                    |ValA|BUn|From Date |To Date   |Opening Stock|Total Receipt Qties|Total Issue Quantities|Closing Stock|S|          Opening Value|   Total Receipt Values|     Total Issue Values|          Closing Value|Crcy |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 30015046-00010E010|MP(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |30.04.2026|30.04.2026|         218 |                 0 |                    0 |         218 | |            10,512,614 |             1,492,299 |                     0 |            12,004,913 |VND  |
| 30015046-00030E010|LF(IDEMITSU SN/CF 5W-40 F-S) BULK       |380P|KG |30.04.2026|30.04.2026|         352 |                 0 |                    0 |         352 | |            16,974,496 |               839,737 |                     0 |            17,814,233 |VND  |
| 30015078-00010E010|MP(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |30.04.2026|30.04.2026|          48 |                 0 |                    0 |          48 | |             1,913,040 |               680,756 |                     0 |             2,593,796 |VND  |
| 30015078-00020E010|CL(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |30.04.2026|30.04.2026|         337 |                 0 |                    0 |         337 | |            10,566,972 |                     0 |             3,214,640-|             7,352,332 |VND  |
| 30015078-00030E010|LF(ID. 4T SL/MA 10W-40 S-S) BULK        |380P|KG |30.04.2026|30.04.2026|         286 |                 0 |                    0 |         286 | |            11,398,530 |                     0 |               120,467-|            11,278,063 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380A|ST |30.04.2026|30.04.2026|           4 |                 0 |                    0 |           4 | |             5,402,580 |             1,175,100 |                     0 |             6,577,680 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380B|ST |30.04.2026|30.04.2026|          10 |                 0 |                    0 |          10 | |            13,506,450 |             2,758,308 |                     0 |            16,264,758 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380C|ST |30.04.2026|30.04.2026|           4 |                 0 |                    0 |           4 | |             5,402,580 |             1,166,933 |                     0 |             6,569,513 |VND  |
| 30015118-7460VE020|IFG5 0W-20 SP/GF-6A 4LX6                |380F|ST |30.04.2026|30.04.2026|           2 |                 0 |                    0 |           2 | |             2,701,290 |               515,542 |                     0 |             3,216,832 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380B|ST |30.04.2026|30.04.2026|          51 |                 0 |                    0 |          51 | |            58,911,018 |             6,239,096 |                     0 |            65,150,114 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380C|ST |30.04.2026|30.04.2026|          70 |                 0 |                    0 |          70 | |            80,858,260 |             8,603,320 |                     0 |            89,461,580 |VND  |
| 30015166-74600E020|IFG5 5W-30 SP/GF-6A (VN) 4LX6           |380P|ST |30.04.2026|30.04.2026|         132 |                 0 |                    0 |         132 | |           152,475,576 |            16,116,578 |                     0 |           168,592,154 |VND  |
| 30015226-00020E010|CL(IFG3 15W-40 SP) BULK                 |380P|KG |30.04.2026|30.04.2026|         330 |                 0 |                    0 |         330 | |            10,347,480 |                     0 |             1,173,859-|             9,173,621 |VND  |
| 30015226-00030E010|LF(IFG3 15W-40 SP) BULK                 |380P|KG |30.04.2026|30.04.2026|         263 |                 0 |                    0 |         263 | |            11,049,682 |                     0 |               694,423-|            10,355,259 |VND  |
| 30015226-2000VE020|IFG3 15W-40 SP (VN) DRUM 200L           |380B|ST |30.04.2026|30.04.2026|           5 |                 0 |                    0 |           5 | |            41,828,400 |             3,913,799 |                     0 |            45,742,199 |VND  |
| 30015226-2000VE020|IFG3 15W-40 SP (VN) DRUM 200L           |380C|ST |30.04.2026|30.04.2026|           3 |                 0 |                    0 |           3 | |            25,097,040 |             3,611,593 |                     0 |            28,708,633 |VND  |
| 30015226-2000VE020|IFG3 15W-40 SP (VN) DRUM 200L           |380F|ST |30.04.2026|30.04.2026|           4 |                 0 |                    0 |           4 | |            33,462,720 |             4,815,457 |                     0 |            38,278,177 |VND  |
| 30015226-2000VE020|IFG3 15W-40 SP (VN) DRUM 200L           |380P|ST |30.04.2026|30.04.2026|           4 |                 0 |                    0 |           4 | |            33,462,720 |             4,815,458 |                     0 |            38,278,178 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380A|ST |30.04.2026|30.04.2026|         216 |                 0 |                    0 |         216 | |           225,900,576 |             3,198,021 |                     0 |           229,098,597 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380B|ST |30.04.2026|30.04.2026|         251 |                 0 |                    0 |         251 | |           262,504,836 |                     0 |             5,141,239-|           257,363,597 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380C|ST |30.04.2026|30.04.2026|         150 |                 0 |                    0 |         150 | |           156,875,400 |                     0 |             6,368,494-|           150,506,906 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380F|ST |30.04.2026|30.04.2026|          57 |                 0 |                    0 |          57 | |            59,612,652 |                     0 |             1,995,014-|            57,617,638 |VND  |
| 30015226-7460VE020|IFG3 15W-40 SP(VN) 4LX6                 |380P|ST |30.04.2026|30.04.2026|         402 |                 0 |                    0 |         402 | |           420,426,072 |            23,778,825 |                     0 |           444,204,897 |VND  |
| 30015228-00010E010|MP(IFG3 5W-30 SP/GF-6A) BULK            |380P|KG |30.04.2026|30.04.2026|          60 |                 0 |                    0 |          60 | |             2,527,140 |                     0 |                 7,084-|             2,520,056 |VND  |
| 30015228-00020E010|CL(IFG3 5W-30 SP/GF-6A) BULK            |380P|KG |30.04.2026|30.04.2026|         619 |                 0 |                    0 |         619 | |            18,826,885 |                     0 |               595,167-|            18,231,718 |VND  |
| 30015228-00030E010|LF(IFG3 5W-30 SP/GF-6A) BULK            |380P|KG |30.04.2026|30.04.2026|         204 |                 0 |                    0 |         204 | |             8,592,276 |                     0 |               321,575-|             8,270,701 |VND  |
| 30015228-2000VE020|IFG3 5W-30 SP/GF-6A (VN) D200L          |380A|ST |30.04.2026|30.04.2026|           1 |                 0 |                    0 |           1 | |             8,273,756 |             2,089,205 |                     0 |            10,362,961 |VND  |
